year,state,electoral_votes,Margin of Victory,Margin of Victory text,Partisan Lean,Partisan Lean text
1992,KY,9,3.210262,D+3.2,-2.581441,R+2.6
1992,LA,10,4.613643,D+4.6,-1.178059,R+1.2
1992,ME,4,8.376171,D+8.4,2.584469,D+2.6
1992,MD,10,14.183202,D+14.2,8.391500,D+8.4
1992,MA,13,18.517023,D+18.5,12.725321,D+12.7
1992,MI,20,7.398040,D+7.4,1.606337,D+1.6
1992,MN,10,11.633818,D+11.6,5.842116,D+5.8
1992,MS,7,-8.915831,R+8.9,-14.707533,R+14.7
1992,MO,11,10.150004,D+10.2,4.358302,D+4.4
1992,MT,4,2.508628,D+2.5,-3.283074,R+3.3
1992,NE,5,-17.194046,R+17.2,-22.985749,R+23.0
1992,NV,4,2.630758,D+2.6,-3.160945,R+3.2
1992,NH,4,1.220368,D+1.2,-4.571334,R+4.6
1992,NJ,16,2.372926,D+2.4,-3.418777,R+3.4
1992,NM,5,8.560386,D+8.6,2.768683,D+2.8
1992,NY,36,18.436564,D+18.4,12.644861,D+12.6
1992,NC,13,-0.789440,R+0.8,-6.581143,R+6.6
1992,ND,3,-12.032466,R+12.0,-17.824169,R+17.8
1992,OH,23,1.834668,D+1.8,-3.957034,R+4.0
1992,OK,8,-8.621011,R+8.6,-14.412713,R+14.4
1992,OR,7,9.951642,D+10.0,4.159940,D+4.2
1992,PA,25,9.018954,D+9.0,3.227252,D+3.2
1992,RI,4,18.020359,D+18.0,12.228656,D+12.2
1992,SC,8,-4.230816,R+4.2,-10.022518,R+10.0
1992,SD,3,-3.518174,R+3.5,-9.309876,R+9.3
1992,TN,11,4.651429,D+4.7,-1.140273,R+1.1
1992,TX,29,-3.481563,R+3.5,-9.273265,R+9.3
1992,UT,5,-18.710131,R+18.7,-24.501833,R+24.5
1992,VT,3,15.695493,D+15.7,9.903791,D+9.9
1992,VA,12,-4.371292,R+4.4,-10.162994,R+10.2
1992,WA,10,11.444615,D+11.4,5.652912,D+5.7
1992,WV,6,13.021792,D+13.0,7.230090,D+7.2
1992,WI,11,4.354335,D+4.4,-1.437368,R+1.4
1992,WY,3,-5.596746,R+5.6,-11.388449,R+11.4
1996,AL,9,-6.965756,R+7.0,-15.567965,R+15.6
1996,AK,3,-17.534145,R+17.5,-26.136354,R+26.1
1996,AZ,8,2.222649,D+2.2,-6.379560,R+6.4
1996,AR,6,16.935591,D+16.9,8.333382,D+8.3
1996,CA,54,12.889446,D+12.9,4.287236,D+4.3
1996,CO,8,-1.369959,R+1.4,-9.972169,R+10.0
1996,CT,8,18.140777,D+18.1,9.538568,D+9.5
1996,DE,3,15.247960,D+15.2,6.645750,D+6.6
1996,DC,3,75.854215,D+75.9,67.252006,D+67.3
1996,FL,25,5.701022,D+5.7,-2.901187,R+2.9
1996,GA,13,-1.174214,R+1.2,-9.776424,R+9.8
1996,HI,4,25.288515,D+25.3,16.686306,D+16.7
1996,ID,4,-18.537718,R+18.5,-27.139928,R+27.1
1996,IL,22,17.505325,D+17.5,8.903115,D+8.9
1996,IN,12,-5.585243,R+5.6,-14.187452,R+14.2
1996,IA,7,10.340863,D+10.3,1.738653,D+1.7
1996,KS,6,-18.205902,R+18.2,-26.808111,R+26.8
1996,KY,8,0.959957,D+1.0,-7.642252,R+7.6
1996,LA,9,12.065916,D+12.1,3.463707,D+3.5
1996,ME,4,20.863282,D+20.9,12.261073,D+12.3
1996,MD,10,15.985277,D+16.0,7.383067,D+7.4
1996,MA,12,33.384107,D+33.4,24.781897,D+24.8
1996,MI,18,13.210226,D+13.2,4.608017,D+4.6
1996,MN,10,16.145327,D+16.1,7.543117,D+7.5
1996,MS,7,-5.125652,R+5.1,-13.727862,R+13.7
1996,MO,11,6.298188,D+6.3,-2.304021,R+2.3
1996,MT,3,-2.881476,R+2.9,-11.483686,R+11.5
1996,NE,5,-18.704339,R+18.7,-27.306549,R+27.3
1996,NV,4,1.018784,D+1.0,-7.583425,R+7.6
1996,NH,4,10.004088,D+10.0,1.401878,D+1.4
1996,NJ,15,17.857185,D+17.9,9.254975,D+9.3
1996,NM,5,7.327082,D+7.3,-1.275127,R+1.3
1996,NY,33,29.676731,D+29.7,21.074522,D+21.1
